id,name,line,status
111,莘庄,1号线,开启
112,外环路,1号线,开启
113,莲花路,1号线,开启
114,锦江乐园,1号线,开启
115,上海南站,1号线,开启
116,漕宝路,1号线,开启
117,上海体育馆,1号线,开启
118,徐家汇,1号线,开启
119,衡山路,1号线,开启
120,常熟路,1号线,开启
121,陕西南路,1号线,开启
122,一大会址·黄陂南路,1号线,开启
123,人民广场,1号线,开启
124,新闸路,1号线,开启
125,汉中路,1号线,开启
126,上海火车站,1号线,开启
127,中山北路,1号线,开启
128,延长路,1号线,开启
129,上海马戏城,1号线,开启
130,汶水路,1号线,开启
131,彭浦新村,1号线,开启
132,共康路,1号线,开启
133,通河新村,1号线,开启
134,呼兰路,1号线,开启
135,共富新村,1号线,开启
136,宝安公路,1号线,开启
137,友谊西路,1号线,开启
138,富锦路,1号线,开启
234,国家会展中心,2号线,开启
235,虹桥火车站,2号线,开启
236,虹桥2号航站楼,2号线,开启
237,淞虹路,2号线,开启
238,北新泾,2号线,开启
239,威宁路,2号线,开启
240,娄山关路,2号线,开启
241,中山公园,2号线,开启
242,江苏路,2号线,开启
243,静安寺,2号线,开启
244,南京西路,2号线,开启
245,人民广场,2号线,开启
246,南京东路,2号线,开启
247,陆家嘴,2号线,开启
248,浦东南路,2号线,开启
249,世纪大道,2号线,开启
250,上海科技馆,2号线,开启
251,世纪公园,2号线,开启
252,龙阳路,2号线,开启
253,张江高科,2号线,开启
254,金科路,2号线,开启
255,广兰路,2号线,开启
256,唐镇,2号线,开启
257,创新中路,2号线,开启
258,华夏东路,2号线,开启
259,川沙,2号线,开启
260,凌空路,2号线,开启
261,远东大道,2号线,开启
262,海天三路,2号线,开启
263,浦东1号2号航站楼,2号线,开启
311,上海南站,3号线,开启
312,石龙路,3号线,开启
313,龙漕路,3号线,开启
314,漕溪路,3号线,开启
315,宜山路,3号线,开启
316,虹桥路,3号线,开启
317,延安西路,3号线,开启
318,中山公园,3号线,开启
319,金沙江路,3号线,开启
320,曹杨路,3号线,开启
321,镇坪路,3号线,开启
322,中潭路,3号线,开启
323,上海火车站,3号线,开启
324,宝山路,3号线,开启
325,东宝兴路,3号线,开启
326,虹口足球场,3号线,开启
327,赤峰路,3号线,开启
328,大柏树,3号线,开启
329,江湾镇,3号线,开启
330,殷高西路,3号线,开启
331,长江南路,3号线,开启
332,淞发路,3号线,开启
333,张华浜,3号线,开启
334,淞滨路,3号线,开启
335,水产路,3号线,开启
336,宝杨路,3号线,开启
337,友谊路,3号线,开启
338,铁力路,3号线,开启
339,江杨北路,3号线,开启
401,上海体育馆,4号线,开启
402,宜山路,4号线,开启
403,虹桥路,4号线,开启
404,延安西路,4号线,开启
405,中山公园,4号线,开启
406,金沙江路,4号线,开启
407,曹杨路,4号线,开启
408,镇坪路,4号线,开启
409,中潭路,4号线,开启
410,上海火车站,4号线,开启
411,宝山路,4号线,开启
412,海伦路,4号线,开启
413,临平路,4号线,开启
414,大连路,4号线,开启
415,杨树浦路,4号线,开启
416,浦东大道,4号线,开启
417,世纪大道,4号线,开启
418,向城路,4号线,开启
419,蓝村路,4号线,开启
420,塘桥,4号线,开启
421,南浦大桥,4号线,开启
422,西藏南路,4号线,开启
423,鲁班路,4号线,开启
424,大木桥路,4号线,开启
425,东安路,4号线,开启
426,上海体育场,4号线,开启
501,莘庄,5号线,开启
502,春申路,5号线,开启
503,银都路,5号线,开启
505,颛桥,5号线,开启
507,北桥,5号线,开启
508,剑川路,5号线,开启
509,东川路,5号线,开启
510,金平路,5号线,开启
511,华宁路,5号线,开启
512,文井路,5号线,开启
513,闵行开发区,5号线,开启
531,江川路,5号线,开启
532,西渡,5号线,开启
533,萧塘,5号线,开启
534,奉浦大道,5号线,开启
535,环城东路,5号线,开启
536,望园路,5号线,开启
537,金海湖,5号线,开启
538,奉贤新城,5号线,开启
621,东方体育中心,6号线,开启
622,灵岩南路,6号线,开启
623,上南路,6号线,开启
624,华夏西路,6号线,开启
625,高青路,6号线,开启
626,东明路,6号线,开启
627,高科西路,6号线,开启
628,临沂新村,6号线,开启
629,上海儿童医学中心,6号线,开启
630,蓝村路,6号线,开启
631,浦电路,6号线,开启
632,世纪大道,6号线,开启
633,源深体育中心,6号线,开启
634,民生路,6号线,开启
635,北洋泾路,6号线,开启
636,德平路,6号线,开启
637,云山路,6号线,开启
638,金桥路,6号线,开启
639,博兴路,6号线,开启
640,五莲路,6号线,开启
641,巨峰路,6号线,开启
642,东靖路,6号线,开启
643,五洲大道,6号线,开启
644,洲海路,6号线,开启
645,外高桥保税区南站,6号线,开启
646,航津路,6号线,开启
647,外高桥保税区北站,6号线,开启
648,港城路,6号线,开启
721,美兰湖,7号线,开启
722,罗南新村,7号线,开启
723,潘广路,7号线,开启
724,刘行,7号线,开启
725,顾村公园,7号线,开启
726,祁华路,7号线,开启
727,上海大学,7号线,开启
728,南陈路,7号线,开启
729,上大路,7号线,开启
730,场中路,7号线,开启
731,大场镇,7号线,开启
732,行知路,7号线,开启
733,大华三路,7号线,开启
734,新村路,7号线,开启
735,岚皋路,7号线,开启
736,镇坪路,7号线,开启
737,长寿路,7号线,开启
738,昌平路,7号线,开启
739,静安寺,7号线,开启
740,常熟路,7号线,开启
741,肇嘉浜路,7号线,开启
742,东安路,7号线,开启
743,龙华中路,7号线,开启
744,后滩,7号线,开启
745,长清路,7号线,开启
746,耀华路,7号线,开启
747,云台路,7号线,开启
748,高科西路,7号线,开启
749,杨高南路,7号线,开启
